Time,Mag,Error
48823.501690,-6.106,0.132
48824.509560,-6.173,0.047
48825.529502,-6.002,0.037
48826.516030,-6.063,0.057
48828.470741,-5.893,0.119
48829.488322,-6.021,0.036
48831.487199,-6.084,0.06
48832.485880,-5.946,0.064
48833.604352,-6.017,0.037
48834.471343,-5.999,0.058
48835.550463,-5.913,0.075
48836.459606,-6.009,0.04
48841.466887,-5.935,0.076
48842.498981,-6.253,0.066
48843.462569,-6.038,0.087
48843.479699,-6.033,0.055
48850.488380,-6.055,0.062
48853.612720,-5.986,0.087
48854.581181,-5.968,0.036
48856.634016,-6.051,0.029
48884.483287,-6.019,0.033
48885.446481,-5.977,0.027
48887.515046,-6.082,0.056
48888.570081,-6.026,0.032
48892.607049,-5.987,0.036
48894.575787,-6.109,0.051
48895.600741,-5.997,0.027
48896.602813,-5.995,0.035
48906.421470,-6.011,0.055
48907.433553,-6.039,0.065
48908.292639,-6.048,0.039
48909.422662,-6.127,0.146
48914.599259,-6.016,0.062
48915.444306,-5.832,0.09
48916.526539,-5.925,0.045
48917.366620,-5.96,0.026
48918.568738,-5.95,0.022
48919.368912,-5.994,0.032
48920.301238,-6.006,0.032
48923.527002,-5.962,0.025
48927.276088,-5.921,0.043
48928.309525,-5.942,0.029
48929.256748,-5.905,0.051
48930.256157,-5.915,0.074
48931.270671,-5.833,0.043
48931.443866,-5.978,0.027
48933.407778,-5.981,0.033
48935.413426,-6.133,0.103
48937.468981,-5.975,0.066
48938.294028,-5.914,0.042
48939.310868,-5.884,0.036
48941.371447,-6.068,0.168
48947.418727,-6.02,0.061
48949.307917,-5.947,0.025
48964.457917,-5.995,0.07
48965.298866,-5.952,0.077
48966.296644,-5.886,0.051
48984.297002,-5.871,0.036
48984.461227,-5.886,0.078
48985.317546,-5.945,0.028
48987.306759,-5.839,0.024
48987.501470,-5.91,0.022
48988.295266,-5.921,0.035
48988.490451,-5.918,0.03
48989.315174,-5.917,0.037
48996.263275,-5.926,0.035
48996.501181,-5.851,0.051
48998.264792,-5.898,0.029
48998.479699,-5.896,0.048
49000.279595,-5.893,0.046
49000.462928,-5.913,0.051
49001.267639,-5.901,0.022
49001.459468,-5.877,0.043
49002.264884,-5.943,0.025
49003.361528,-5.941,0.035
49003.454965,-5.883,0.037
49006.274618,-5.904,0.023
49006.458565,-5.848,0.087
49007.283345,-5.88,0.078
49007.443160,-5.936,0.028
49010.440197,-5.909,0.026
49011.358657,-5.857,0.043
49014.461771,-5.893,0.068
49015.268264,-5.926,0.04
49015.393576,-5.93,0.034
49016.301609,-5.821,0.042
49016.421829,-5.855,0.035
49018.291620,-5.868,0.023
49018.424826,-5.908,0.024
49020.376644,-5.89,0.036
49021.297535,-5.922,0.031
49021.412963,-5.901,0.028
49024.263773,-5.745,0.111
49025.335093,-5.991,0.04
49029.268935,-5.878,0.031
49032.260347,-5.896,0.051
49032.388137,-5.97,0.099
49035.388449,-5.967,0.079
49036.471736,-5.912,0.049
49037.393715,-5.906,0.03
49040.336806,-5.924,0.03
49043.262176,-5.919,0.038
49043.363576,-5.906,0.035
49044.277847,-5.915,0.041
49044.432535,-5.986,0.101
49045.248646,-5.916,0.026
49045.352245,-5.895,0.033
49046.418866,-5.799,0.22
49048.243090,-5.939,0.05
49048.346169,-5.832,0.044
49049.269074,-5.986,0.057
49049.401123,-5.921,0.049
49050.406146,-5.989,0.038
49051.238854,-5.98,0.046
49053.348461,-5.895,0.058
49055.477755,-5.712,0.165
49059.276505,-5.893,0.03
49060.223924,-5.881,0.028
49061.226829,-5.865,0.033
49061.407465,-5.817,0.079
49062.224155,-5.888,0.033
49064.323090,-5.918,0.03
49064.446412,-5.866,0.04
49065.301042,-6.202,0.019
49065.434896,-5.893,0.035
49067.214086,-5.858,0.037
49067.365278,-5.874,0.046
49068.280648,-5.888,0.029
49069.251192,-5.904,0.036
49069.375150,-5.946,0.029
49074.243889,-5.917,0.032
49075.250648,-5.883,0.035
49076.286863,-5.917,0.04
49076.401100,-5.907,0.056
49077.246273,-5.847,0.033
49080.316829,-5.734,0.051
49082.322951,-5.818,0.202
49082.374306,-6.077,0.16
49083.271412,-5.783,0.194
49084.303530,-5.85,0.065
49085.273646,-5.887,0.053
49087.398241,-5.808,0.053
49088.298287,-5.885,0.028
49089.295208,-5.931,0.029
49089.300579,-5.898,0.026
49092.346736,-5.915,0.047
49093.236944,-5.885,0.028
49094.240093,-5.86,0.024
49095.239664,-5.903,0.035
49096.240370,-5.851,0.023
49096.347905,-5.857,0.029
49097.242581,-5.881,0.029
49097.370706,-5.839,0.032
49098.240486,-5.846,0.024
49098.342419,-5.875,0.039
49099.230139,-5.908,0.03
49099.336863,-5.886,0.032
49100.228380,-5.809,0.049
49100.336470,-5.91,0.037
49101.242616,-5.869,0.026
49103.239086,-5.898,0.028
49104.395255,-5.889,0.035
49106.319630,-5.866,0.041
49107.256505,-5.788,0.074
49107.296296,-5.888,0.042
49107.391088,-5.85,0.054
49108.241227,-5.887,0.036
49109.300127,-5.918,0.102
49111.302431,-5.852,0.19
49112.247685,-5.88,0.041
49114.231782,-5.79,0.078
49114.258380,-5.811,0.056
49115.379468,-5.851,0.085
49117.244132,-5.897,0.037
49118.216366,-5.907,0.04
49120.222859,-5.862,0.036
49123.224850,-5.848,0.044
49124.222222,-5.9,0.037
49125.217569,-5.857,0.029
49126.218854,-5.878,0.026
49126.245139,-5.816,0.025
49127.226701,-5.881,0.031
49130.261250,-5.86,0.09
49132.345174,-5.836,0.121
49133.290903,-5.88,0.034
49134.224931,-5.949,0.03
49135.206169,-5.891,0.033
49140.212905,-5.714,0.329
49140.634884,-5.955,0.063
49141.635289,-5.816,0.105
49142.619213,-6.057,0.145
49143.216204,-5.842,0.068
49143.620127,-6.0,0.096
49144.210278,-5.908,0.031
49144.637998,-5.829,0.072
49145.206875,-6.064,0.413
49145.623819,-6.193,0.295
49146.205521,-6.003,0.066
49151.621609,-6.031,0.151
49152.205081,-5.872,0.042
49152.617269,-5.895,0.047
49153.213623,-5.858,0.033
49154.211042,-5.885,0.072
49155.240208,-5.791,0.079
49156.215625,-5.91,0.059
49161.204167,-5.836,0.352
49161.621007,-6.007,0.065
49162.252963,-5.872,0.068
49162.594317,-6.039,0.088
49163.208380,-5.842,0.037
49164.208877,-5.895,0.046
49169.650370,-5.887,0.034
49171.607292,-5.712,0.192
49176.213565,-5.783,0.083
49178.600833,-5.909,0.07
49179.561319,-5.952,0.068
49180.210463,-5.863,0.054
